actor, sum: 0 1223095858
factor, sum: 0 1954744805
factor, sum: 0 1512295684
factor, sum: 0 1207661362
factor, sum: 0 686604442
factor, sum: 0 1032920729
factor, sum: 0 821396708
factor, sum: 0 131942197
factor, sum: 0 1020472904
factor, sum: 0 950313774
factor, sum: 0 363902795
factor, sum: 0 1267881990
factor, sum: 0 878255548
factor, sum: 0 1096472740
factor, sum: 0 1171026270
factor, sum: 0 1501306683
factor, sum: 0 1727905763
factor, sum: 0 40406334
factor, sum: 0 1911409300
factor, sum: 0 504633955
factor, sum: 0 1782616044
factor, sum: 0 931839571
factor, sum: 0 2018973188
factor, sum: 0 1008988135
